station_code,station_name,blk_no,building,latitude,longitude,postal,road_name,searchval,type
EW23,Clementi,3150,CLEMENTI MRT STATION,1.3152012635208,103.765182446647,129580,COMMONWEALTH AVENUE WEST,CLEMENTI MRT STATION,mrt
EW24,Jurong East,10,JURONG EAST MRT STATION,1.33315261987297,103.742286544006,609690,JURONG EAST STREET 12,JURONG EAST MRT STATION,mrt
EW25,Chinese Garden,151,CHINESE GARDEN MRT STATION,1.34235282081403,103.732596738363,609959,BOON LAY WAY,CHINESE GARDEN MRT STATION,mrt
EW26,Lakeside,201,LAKESIDE MRT STATION,1.34425913054043,103.720949076305,649845,BOON LAY WAY,LAKESIDE MRT STATION,mrt
EW27,Boon Lay,301,BOON LAY MRT STATION,1.33860405469846,103.706064622772,649846,BOON LAY WAY,BOON LAY MRT STATION,mrt
EW28,Pioneer,31,PIONEER MRT STATION,1.33758688240768,103.697321513018,648310,JURONG WEST STREET 63,PIONEER MRT STATION,mrt
EW29,Joo Koon,91,JOO KOON MRT STATION,1.32771717334029,103.678375143838,629116,JOO KOON CIRCLE,JOO KOON MRT STATION,mrt
EW30,Gul Circle,7A,GUL CIRCLE MRT STATION,1.319470868174,103.660530403418,637288,TUAS ROAD,GUL CIRCLE MRT STATION,mrt
EW31,Tuas Crescent,90,TUAS CRESCENT MRT STATION,1.32102695188066,103.649078232635,639608,PIONEER ROAD,TUAS CRESCENT MRT STATION,mrt
EW32,Tuas West Road,131,TUAS WEST ROAD MRT STATION,1.3299890890646,103.63961405628,639609,PIONEER ROAD,TUAS WEST ROAD MRT STATION,mrt
EW33,Tuas Link,20,TUAS LINK MRT STATION,1.34088242451108,103.636991425128,638418,TUAS WEST DRIVE,TUAS LINK MRT STATION,mrt
CG1,Expo,2,EXPO MRT STATION,1.33538252614957,103.962374747451,485985,EXPO DRIVE,EXPO MRT STATION,mrt
CG2,Changi Airport,70,CHANGI AIRPORT MRT STATION,1.35747897447696,103.98788356959,819661,AIRPORT BOULEVARD,CHANGI AIRPORT MRT STATION,mrt
NE1,HarbourFront,81,HARBOURFRONT MRT STATION,1.26538938402277,103.821530156823,098867,TELOK BLANGAH ROAD,HARBOURFRONT MRT STATION,mrt
NE3,Outram Park,300,OUTRAM PARK MRT STATION,1.27973970679336,103.839513521005,059816,EU TONG SEN STREET,OUTRAM PARK MRT STATION,mrt
NE4,Chinatown,91,CHINATOWN MRT STATION,1.28422391919087,103.845143798953,058362,UPPER CROSS STREET,CHINATOWN MRT STATION,mrt
NE5,Clarke Quay,10,CLARKE QUAY MRT STATION,1.28838602407589,103.846555209694,059815,EU TONG SEN STREET,CLARKE QUAY MRT STATION,mrt
NE6,Dhoby Ghaut,11,DHOBY GHAUT MRT STATION,1.29870130619238,103.846115155028,238826,ORCHARD ROAD,DHOBY GHAUT MRT STATION,mrt
NE7,Little India,60,LITTLE INDIA MRT STATION,1.30680002560554,103.84964696645,229900,BUKIT TIMAH ROAD,LITTLE INDIA MRT STATION,mrt
NE8,Farrer Park,250,FARRER PARK MRT STATION,1.31190557325777,103.853477716509,218703,RACE COURSE ROAD,FARRER PARK MRT STATION,mrt
NE9,Boon Keng,900,BOON KENG MRT STATION,1.31933570922515,103.861569454156,328260,SERANGOON ROAD,BOON KENG MRT STATION,mrt
NE10,Potong Pasir,55,POTONG PASIR MRT STATION,1.33137952497763,103.869055665485,347694,UPPER SERANGOON ROAD,POTONG PASIR MRT STATION,mrt
NE11,Woodleigh,400,WOODLEIGH MRT STATION,1.33919004519393,103.87081830915,347695,UPPER SERANGOON ROAD,WOODLEIGH MRT STATION,mrt
NE12,Serangoon,600,SERANGOON MRT STATION,1.34970787487358,103.873574846893,534801,UPPER SERANGOON ROAD,SERANGOON MRT STATION,mrt
NE13,Kovan,900,KOVAN MRT STATION,1.36017917065238,103.885064856353,534799,UPPER SERANGOON ROAD,KOVAN MRT STATION,mrt
NE14,Hougang,80,HOUGANG MRT STATION,1.37129229221246,103.892380518741,538758,HOUGANG CENTRAL,HOUGANG MRT STATION,mrt
NE15,Buangkok,10,BUANGKOK MRT STATION,1.38287785835055,103.893121564391,545061,SENGKANG CENTRAL,BUANGKOK MRT STATION,mrt
